id,korean_text,gloss_sequence,fps,num_frames,json_path,xml_path,video_path
NIA_SL_G1_COLDWAVE000021_1_TW07,현재 우리 군 눈과 한파로 도로 결빙이 우려되니 차량 운행시 안전운행 및 보행자 미끄럼에 주의하여 주시기 바랍니다.,오늘1 군수0 눈내리다1# 온도내려가다1 춥다1 길1 얼음1 운전1 편하다1 조심1 걷다1#쌍방통행 미끄럽다1 조심1 부탁1,30.0,541,C:\26\GKSL-dataset-main\재난안전수어영상\2.형태소_비수지(json)_TL\NIA_SL_G1_COLDWAVE000021_1_TW07.json,C:\26\GKSL-dataset-main\재난안전수어영상\1.키포인트(xml)_TL\NIA_SL_G1_COLDWAVE000021_1_TW07_F.xml,
NIA_SL_G1_COLDWAVE000024_1_TW07,"대설·한파 10일까지 예상, 수도계량기·농축수산시설 보온조치, 온열기 화재방지에 각별히 주의하시기 바랍니다.",눈내리다1# 온도내려가다1 춥다1 날1 까지1 수도계량기2 밭1 소1 물고기2 시설1 시설1 따뜻하다1 감다1 따뜻하다1 선풍기1 불1 막다1 신경쓰다1 부탁1,30.0,820,C:\26\GKSL-dataset-main\재난안전수어영상\2.형태소_비수지(json)_TL\NIA_SL_G1_COLDWAVE000024_1_TW07.json,C:\26\GKSL-dataset-main\재난안전수어영상\1.키포인트(xml)_TL\NIA_SL_G1_COLDWAVE000024_1_TW07_F.xml,
NIA_SL_G1_COLDWAVE000025_1_TW07,금일 21시부로 대구지역 한파와 강풍주의보가 발효되었습니다. 외출자제 및 수도 동파 방지 등 피해가 발생하지 않도록 대비하여 주시기 바랍니다.,오늘1 밤1 시:9시 시작1 대구1 지역1 온도내려가다1 춥다1 바람1# 조심1 발표1 밖1 조심1 얼음1 피해1 사고1 사고1 아니다1 까지1 신경쓰다1 부탁1,30.0,626,C:\26\GKSL-dataset-main\재난안전수어영상\2.형태소_비수지(json)_TL\NIA_SL_G1_COLDWAVE000025_1_TW07.json,C:\26\GKSL-dataset-main\재난안전수어영상\1.키포인트(xml)_TL\NIA_SL_G1_COLDWAVE000025_1_TW07_F.xml,
NIA_SL_G1_COLDWAVE000027_1_TW07,"내일 낮부터 강한 바람과 한파가 예상되오니, 노약자 외출자제, 수도 동파 방지, 도로결빙주의 등 피해가 발생하지 않도록 안전에 유의 바랍니다.",낮1 시작1 바람1# 온도내려가다1 춥다1 사람1 밖1 조심1 얼음1 막다1 길1 얼음1 조심1 피해1 사고1 아니다1 신경쓰다1 부탁1,30.0,592,C:\26\GKSL-dataset-main\재난안전수어영상\2.형태소_비수지(json)_TL\NIA_SL_G1_COLDWAVE000027_1_TW07.json,C:\26\GKSL-dataset-main\재난안전수어영상\1.키포인트(xml)_TL\NIA_SL_G1_COLDWAVE000027_1_TW07_F.xml,
NIA_SL_G1_COLDWAVE000054_1_TW07,"밤 사이 대설, 한파로 도로가 얼어 미끄러우니 낙상사고, 도로결빙에 따른 안전 운전, 보행에 주의하여 주시기 바랍니다.",밤1 사이1 눈내리다1 온도내려가다1 춥다1 길1 얼음1 미끄럽다1 길1 얼음1 편하다1 운전1 걷다1# 조심1 부탁1,30.0,563,C:\26\GKSL-dataset-main\재난안전수어영상\2.형태소_비수지(json)_TL\NIA_SL_G1_COLDWAVE000054_1_TW07.json,C:\26\GKSL-dataset-main\재난안전수어영상\1.키포인트(xml)_TL\NIA_SL_G1_COLDWAVE000054_1_TW07_F.xml,
NIA_SL_G1_COLDWAVE000055_1_TW07,"현재 한파로 인하여 도로결빙. 노약자 외출자제, 수도계량기 동파예방, 집 앞 눈 치우기 등 피해 없도록 안전에 유의바랍니다.",오늘1 온도내려가다1 춥다1 길1 얼음1 몸1 춥다1 약하다1 사람1 밖1 조심1 수도계량기2 막대기1 따뜻하다1 막대기1# 막다1 눈내리다1 차오르다1# 청소1 빗자루1 피해1 신경쓰다1 부탁1,30.0,771,C:\26\GKSL-dataset-main\재난안전수어영상\2.형태소_비수지(json)_TL\NIA_SL_G1_COLDWAVE000055_1_TW07.json,C:\26\GKSL-dataset-main\재난안전수어영상\1.키포인트(xml)_TL\NIA_SL_G1_COLDWAVE000055_1_TW07_F.xml,
NIA_SL_G1_COLDWAVE000056_1_TW07,"밤새 강추위로 도로결빙 및 블랙아이스로 인한 사고 위험, 농축수산 시설물 피해예방을 위해 빙판길 서행운전과 내 집 앞 눈치우기에 적극 동참하여 주시기 바랍니다.",밤새다0 춥다1 길1 얼음1 운전1 실수1 밭1 소1 시설1 시설1 피해1 막다1 위하다1 얼음1 운전1 늦다1 눈내리다1 차오르다1# 청소1 빗자루1 협조1 부탁1,30.0,919,C:\26\GKSL-dataset-main\재난안전수어영상\2.형태소_비수지(json)_TL\NIA_SL_G1_COLDWAVE000056_1_TW07.json,C:\26\GKSL-dataset-main\재난안전수어영상\1.키포인트(xml)_TL\NIA_SL_G1_COLDWAVE000056_1_TW07_F.xml,
NIA_SL_G1_COLDWAVE000058_1_TW07,"한파로 인하여 진천읍, 덕산면, 원남면 지역에 선별진료소 운영시간 변경 안내드립니다. (예상 진료시간: 7시~17시까지)",춥다1 진천1 지역1 운영1 시간1 바꾸다1 시간1 아침1 시:7시 시:5시 까지1,30.0,758,C:\26\GKSL-dataset-main\재난안전수어영상\2.형태소_비수지(json)_TL\NIA_SL_G1_COLDWAVE000058_1_TW07.json,C:\26\GKSL-dataset-main\재난안전수어영상\1.키포인트(xml)_TL\NIA_SL_G1_COLDWAVE000058_1_TW07_F.xml,
NIA_SL_G1_COLDWAVE000070_1_TW07,"금일 21시 장수군 한파주1의보 발효. 외출 자제, 시설물 보온조치, 농축산물 피해, 수도 동파 및 난방기 화재 등 피해에 주의 바랍니다.",오늘1 밤1 시:9시 춥다1 발표1 밖1 조심1 시설1 시설1 따뜻하다1 조절1 논1 소1 피해1 얼음1 따뜻하다1 작동1 불1 피해1 조심1 부탁1,30.0,787,C:\26\GKSL-dataset-main\재난안전수어영상\2.형태소_비수지(json)_TL\NIA_SL_G1_COLDWAVE000070_1_TW07.json,C:\26\GKSL-dataset-main\재난안전수어영상\1.키포인트(xml)_TL\NIA_SL_G1_COLDWAVE000070_1_TW07_F.xml,
NIA_SL_G1_COLDWAVE000073_1_TW07,"금일 대설, 한파로 도로결빙 우려되니 출근길 대중교통 이용, 눈길 미끄럼 등 주의, 내 집 앞 눈은 내가 치우기에 적극 동참해 주시기 바랍니다.",오늘1 눈내리다1 춥다1 길1 얼음1 회사2 때2 버스1 지하철1 사용1 부탁1 눈내리다1 차오르다1# 빗자루1 협조1 부탁1,30.0,686,C:\26\GKSL-dataset-main\재난안전수어영상\2.형태소_비수지(json)_TL\NIA_SL_G1_COLDWAVE000073_1_TW07.json,C:\26\GKSL-dataset-main\재난안전수어영상\1.키포인트(xml)_TL\NIA_SL_G1_COLDWAVE000073_1_TW07_F.xml,
NIA_SL_G1_COLDWAVE000076_1_TW07,"1월 28일~29일 강풍과 대설, 한파가 예상되니 ▲야외활동 자제 ▲도로결빙에 따른 운전자 및 보행자 안전사고 ▲농축수산시설 피해 대비 철저.",날짜:1월28일 바람1# 눈내리다1 온도내려가다1 춥다1 밖1 행동1 조심1 길1 얼음1 운전1 사람1 걷다1# 조심1 밭1 소1 물고기2 시설1 피해1 막다1 부탁1,30.0,801,C:\26\GKSL-dataset-main\재난안전수어영상\2.형태소_비수지(json)_TL\NIA_SL_G1_COLDWAVE000076_1_TW07.json,C:\26\GKSL-dataset-main\재난안전수어영상\1.키포인트(xml)_TL\NIA_SL_G1_COLDWAVE000076_1_TW07_F.xml,
NIA_SL_G1_COLDWAVE000077_1_TW07,"내일 새벽부터 오전 사이 한파가 예상되니 야외활동 자제, 농축수산물 동해 피해, 수도시설 동파 등 피해예방에 유의하여 주시기 바랍니다",시작1 아침1 춥다1 밖1 행동1 멈추다1 논1 소1 물고기2 피해1 시설1 얼음1 어긋나다1 피해1 막다1 조심1 부탁1,30.0,621,C:\26\GKSL-dataset-main\재난안전수어영상\2.형태소_비수지(json)_TL\NIA_SL_G1_COLDWAVE000077_1_TW07.json,C:\26\GKSL-dataset-main\재난안전수어영상\1.키포인트(xml)_TL\NIA_SL_G1_COLDWAVE000077_1_TW07_F.xml,
NIA_SL_G1_COLDWAVE000078_1_TW07,한파로 인한 수도계량기 동파가 자주 발생하고 있으니 보온에 최선을 다해주시기 바랍니다.,춥다1 계량기1# 지시1# 번호1 지시1# 얼음1 어긋나다1 사고1 따뜻하다1 신경쓰다1 부탁1,30.0,427,C:\26\GKSL-dataset-main\재난안전수어영상\2.형태소_비수지(json)_TL\NIA_SL_G1_COLDWAVE000078_1_TW07.json,C:\26\GKSL-dataset-main\재난안전수어영상\1.키포인트(xml)_TL\NIA_SL_G1_COLDWAVE000078_1_TW07_F.xml,
